,pred_sin,pred_cos,truth_sin,truth_cos
283,-0.9641648,-0.90283936,0.22934146,0.31147102
284,-0.94943064,-0.8392319,0.26038307,0.2472813
285,-0.93813103,-0.9027617,0.27694735,0.2549633
286,-0.93276995,-0.92127734,0.2913238,0.35139665
287,-0.92274064,-0.8715923,0.3175227,0.28942296
288,-0.9166051,-0.85088664,0.32916027,0.44044945
289,-0.89645797,-1.170474,0.36226627,0.38042313
290,-0.9101703,-0.8584689,0.3686634,0.21656133
291,-0.91154474,-0.9680596,0.3580659,0.35340637
292,-0.90400916,-1.0046012,0.369418,0.36163953
293,-0.90484655,-0.8031459,0.37818542,0.5329183
294,-0.87390107,-0.873729,0.4139779,0.4002113
295,-0.8696925,-0.90813667,0.42258835,0.33085918
296,-0.8740132,-0.7734575,0.42088816,0.45702496
297,-0.85301775,-0.8832306,0.4431956,0.3604286
298,-0.8560009,-0.87699753,0.44566122,0.45776668
299,-0.8475972,-0.96534544,0.46347743,0.4807637
300,-0.84591883,-0.90591425,0.47792968,0.3988815
301,-0.84582645,-0.8409193,0.4800738,0.6911101
302,-0.8117616,-0.8906621,0.52148473,0.4650862
303,-0.81432205,-0.84809417,0.5248865,0.501876
304,-0.8047178,-0.893383,0.5341281,0.5949792
305,-0.7940882,-0.9731183,0.55170393,0.55304694
306,-0.79757065,-0.72014976,0.558008,0.6285869
307,-0.76787126,-0.7858082,0.5775027,0.60685813
308,-0.75594777,-0.73081034,0.5913825,0.8525849
309,-0.7220863,-0.7202415,0.6284482,0.72137433
310,-0.7070015,-0.7293341,0.6500896,0.54416174
311,-0.70555186,-0.67455107,0.6535208,0.63777107
312,-0.6868375,-0.90104735,0.6703731,0.81649864
313,-0.6820213,-0.960153,0.69564265,0.6876391
314,-0.6939948,-0.8868402,0.69999385,0.571335
315,-0.7006185,-0.5994414,0.69170165,0.7182598
316,-0.6645042,-0.6640381,0.7046818,0.8368459
317,-0.64345986,-0.71120197,0.72465765,0.5970431
318,-0.65053535,-0.7911252,0.72336185,0.76436013
319,-0.64666474,-0.6434793,0.73226833,0.5610999
320,-0.64426994,-0.66268176,0.727925,0.742572
321,-0.6294833,-0.61346537,0.73836625,0.792519
322,-0.61275715,-0.6879,0.75367695,0.7719376
323,-0.60795504,-0.4842015,0.76412416,0.7999096
324,-0.5762594,-0.56611663,0.7777574,0.6982501
325,-0.5671634,-0.45597777,0.78705245,0.90950906
326,-0.52801335,-0.5820102,0.8135538,0.8146211
327,-0.5167194,-0.5696143,0.83461887,0.75129074
328,-0.5030125,-0.6376354,0.84600997,0.73902917
329,-0.49927536,-0.47113198,0.854196,0.9750029
330,-0.4612341,-0.53007823,0.87276137,0.8534324
331,-0.44904873,-0.26858634,0.88331854,0.86399233
332,-0.40618148,-0.4922018,0.8845928,0.86040884
333,-0.4081119,-0.47269022,0.89451694,0.95337576
